연번,호선,역번호,역명,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
96,4,411,노원(4),643108,542222,442249,470972,520822,529334,560326,466545,423072,507585,511075,412119
97,4,412,창동,832237,693383,594965,622228,694818,719720,767253,637396,601905,682011,692904,573563
98,4,413,쌍문,929690,795928,698670,724829,780297,805241,843067,713407,683224,770218,784540,669805
99,4,414,수유,1078214,924659,812292,839773,905224,921902,966005,824129,787948,892866,902280,775563
100,4,415,미아,467782,400440,349880,363227,399252,417812,433201,360526,355855,401732,402876,341786
101,4,416,미아사거리,882280,744997,643851,677285,747554,768570,804723,672546,645510,739558,746150,628853
102,4,417,길음,629534,517336,435979,460813,511293,544067,565517,463463,448596,522464,531809,433758
103,4,418,성신여대입구,659168,519933,446371,472695,530932,541542,573043,471029,441434,529366,536621,423614
104,4,419,한성대입구,416009,346568,290803,307422,347028,365766,381800,307833,303450,356757,370476,290823
105,4,420,혜화,1152850,852579,623838,673467,785813,798468,892534,737998,651431,813627,848650,612913
106,4,421,동대문(4),634172,506464,439483,483966,537796,548045,586683,436428,455414,515717,504847,433584
107,4,422,동대문역사문화공원(4),616522,465134,341843,353911,387441,397559,420298,344207,330590,390854,393836,324644
108,4,423,충무로(4),834954,697462,581047,583660,621708,670483,692517,564999,560568,623619,656261,559625
109,4,424,명동,1013791,676902,370239,382647,437865,465024,489726,395910,374536,469415,479086,369628
110,4,425,회현,799952,604251,481929,527081,602656,610930,638618,461646,487837,564977,578224,487692
111,4,426,서울역(4),388153,318841,236086,248668,263763,289891,306561,244301,226597,264610,277174,219446
112,4,427,숙대입구,415498,351230,283005,294738,326754,349031,361983,300391,281109,326848,338757,266649
113,4,428,삼각지(4),140503,121095,101547,103990,111936,120373,126445,105265,98675,111670,115456,95528
114,4,429,신용산,482579,391902,321558,334240,364707,391679,424799,349283,317794,376017,399223,303360
115,4,430,이촌,262755,182507,132012,144628,174558,176960,196998,174467,150908,192608,189881,141584
116,4,431,동작,77679,65528,66870,74457,83827,85148,87468,68994,74102,78979,76838,63373
117,4,432,이수(총신대입구),618502,512197,419377,452543,504937,520938,548171,461180,435013,498704,497628,408086
118,4,433,사당(4),827365,675564,544686,589506,658004,669426,722465,593215,537164,659316,665062,503874
119,4,434,남태령,40206,31868,22728,25983,30612,30820,34110,28203,27193,32570,32469,24723
120,5,2511,방화,207632,175812,148703,157801,173528,184170,194887,163906,154194,178605,179740,148230
121,5,2512,개화산,168575,145129,126714,129092,133031,138114,145311,124252,119366,136212,135744,116486
122,5,2513,김포공항(5),255586,177242,130479,135552,166245,176617,194092,189210,151506,198827,197455,158060
123,5,2514,송정,217547,180988,156866,167203,179926,182412,189813,164324,155722,178556,177264,148614
124,5,2515,마곡,202402,184148,171043,182010,200995,215257,229424,192270,187132,213884,225337,194237
125,5,2516,발산,552228,479527,390093,427728,468519,489475,509217,424638,395547,471857,489125,384995
126,5,2517,우장산,433993,360777,289223,311426,350861,377563,399691,330277,310432,361861,362919,294926
127,5,2518,화곡,859311,746093,647904,674808,728025,747324,784764,671553,640417,722458,736713,628132
128,5,2519,까치산(5),877785,759695,668759,697916,753896,772134,810375,699976,675074,754407,757176,645847
129,5,2520,신정,396867,346251,302075,313339,339522,360162,382773,327440,314200,352902,363564,310000
130,5,2521,목동,519703,440521,369678,391528,432285,446521,473521,398892,374089,432521,438706,362417
131,5,2522,오목교,704356,607739,483860,509299,559966,577925,621088,527003,481414,567901,581861,469778
132,5,2523,양평(5),196040,179524,161069,165049,173485,187592,197101,163562,158972,173415,183587,161765
133,5,2524,영등포구청(5),112214,101026,92894,94688,101646,108204,114793,95841,94817,103620,106471,93741
134,5,2525,영등포시장,292274,243266,197750,206722,224331,227815,244817,210482,196754,226262,238336,203449
135,5,2526,신길(5),99652,91523,82319,83705,89702,95086,99997,86686,83510,95118,100557,85710
136,5,2527,여의도(5),685052,616964,536710,541317,571859,626951,665727,544714,515751,569155,615127,525501
137,5,2528,여의나루,210052,185148,243138,250663,281724,277746,290278,168826,176660,228295,195902,148118
138,5,2529,마포,404479,346962,296486,307747,333783,356236,377977,315502,298628,326894,350690,293360
139,5,2530,공덕(5),393434,345723,290604,304947,329915,354170,378187,304348,290323,334086,353075,286929
140,5,2531,애오개,204687,177195,149247,155822,169471,179859,190213,157116,148324,165981,172495,140612
141,5,2532,충정로(5),125537,111333,92409,101952,116138,125142,126266,103469,99544,112274,120943,101342
142,5,2533,서대문,501928,430300,366171,371295,398331,439476,457565,376029,360333,406611,431080,376176
143,5,2534,광화문,1015055,816877,620560,653187,719966,789935,862193,687447,592952,714052,768902,604451
144,5,2535,종로3가(5),490490,345958,246941,277818,314149,323549,375017,292408,244746,325030,319937,211447
145,5,2536,을지로4가(5),160632,138784,125493,130607,141918,147744,154296,124252,128207,139128,144659,130610
146,5,2537,동대문역사문화공원(5),81577,74702,58694,59681,63325,68187,69931,60399,59330,61141,66989,61253
147,5,2538,청구(5),119136,104580,90245,92683,101507,104680,108437,91528,91561,100870,102946,88125
148,5,2539,신금호,183875,155074,130608,140715,154094,162456,171909,141864,138195,158058,161434,132221
149,5,2540,행당,244008,206615,173204,185648,206098,215817,227893,189404,181894,209166,215200,177134
150,5,2541,왕십리(5),142805,120136,100676,105688,115456,118709,126498,110022,102554,116355,118092,99792
151,5,2542,마장,181575,143298,121438,128123,141896,146117,153308,131720,131689,141792,145516,124022
152,5,2543,답십리,487713,429337,372877,384501,415115,434693,455504,386402,371365,415396,426392,369618
153,5,2544,장한평,542919,471903,402460,416689,445932,472320,493657,420842,405864,449449,468457,405648
154,5,2545,군자(5),326636,285947,252349,262619,281706,289730,304490,259728,251486,283912,287336,245883
155,5,2546,아차산,423540,361046,321885,349092,385003,392674,402729,333964,332781,392746,379136,321077
156,5,2547,광나루,401674,340403,282291,303790,335949,350976,363346,294710,290555,342632,344315,279955
157,5,2548,천호(5),581876,479877,395810,433768,484702,486093,509124,445579,413271,484524,482713,406110
158,5,2549,강동,598138,510007,438436,472789,540153,565496,590059,471503,433834,492525,513477,433365
159,5,2550,길동,221775,186928,160344,170943,194752,198149,207808,183145,172874,195364,202655,174151
160,5,2551,굽은다리,278574,232314,194136,205428,228785,239355,253422,220903,208351,239195,245068,207392
161,5,2552,명일,252351,206858,163633,181292,207032,217685,230954,193173,181637,214825,223427,179128
162,5,2553,고덕,270353,215074,173356,187226,208929,223443,239938,199797,190577,223838,231092,185599
163,5,2554,상일동,443353,394158,371251,414375,463332,498439,527357,378400,342304,396344,410242,340192
164,5,2555,둔촌동,254421,213836,175426,185552,209376,217735,226379,190293,182229,210529,214528,182666
165,5,2556,올림픽공원(5),123859,99255,79468,87613,102824,108974,115833,103501,92882,113351,110723,87580
166,5,2557,방이,217094,181231,146433,155764,175733,184150,194927,162900,149291,178280,183073,145418
167,5,2558,오금(5),100553,88345,76783,81142,91808,100347,104077,86623,84012,95192,97833,80491
168,5,2559,개롱,195588,163822,132189,139703,158677,166979,177298,149590,139209,164721,168376,134739
169,5,2560,거여,225781,189816,162084,170835,190687,203387,215914,182384,177419,201501,208704,172442
170,5,2561,마천,152941,130648,116317,123171,136457,141552,150624,131627,133010,151949,155119,132919
171,5,2562,강일,,,,,,,,,,,,
172,5,2563,미사,,,,,,,,192724,251859,312873,339152,289061
173,5,2564,하남풍산,,,,,,,,78926,97552,121414,126445,107535
174,5,2565,하남시청,,,,,,,,,,,,
175,5,2566,하남검단산,,,,,,,,,,,,
176,6,2611,응암,518209,446531,391056,410178,443706,463261,489686,415406,402659,456651,460875,394390
177,6,2612,역촌,116378,97727,81562,84417,95701,99330,106506,93425,87695,97064,98602,83945
178,6,2613,불광(6),145918,119182,102353,111138,122192,126008,133297,117699,110095,124011,121834,102214
179,6,2614,독바위,84073,71907,63340,66690,72189,76216,79583,67780,66682,75332,74191,63343
180,6,2616,구산,222733,189689,164358,172800,185616,192271,202275,169772,161926,186388,187076,160822
181,6,2617,새절,385824,329977,283858,300913,327698,342573,357027,303603,293025,334119,338703,284927
182,6,2618,증산,301940,260100,229904,241382,261158,270292,280160,242648,232534,263652,263931,227586
183,6,2619,디지털미디어시티(6),389818,343517,296526,302548,323174,345224,367502,311356,299802,338688,353521,298704
184,6,2620,월드컵경기장,150314,117954,108556,120641,136004,132842,137439,121533,127467,157030,133628,102799
185,6,2621,마포구청,419758,362179,307262,321171,350182,365464,385041,330464,316045,355016,366017,309231
186,6,2622,망원,429036,366096,315893,336922,368787,369688,401444,336491,326103,367489,370460,298714
187,6,2623,합정(6),424034,363641,303586,313948,329649,341153,372594,314386,287014,346199,341206,263616
188,6,2624,상수,293405,244337,188080,193906,199372,213469,233259,199782,168058,204085,208265,159093
189,6,2625,광흥창,270405,227093,185419,194402,214793,227891,240019,202810,189715,215096,224356,183100
190,6,2626,대흥,244857,205752,167396,174366,192972,204549,219246,181019,171983,198564,206571,166829
191,6,2627,공덕(6),529869,459020,389330,402493,432167,462321,496188,406455,391050,440608,461136,377732
